Year,City,Sport,Discipline,Country,Gender,Event,Medal
1896,Athens,Aquatics,Swimming,HUN,Men,100M Freestyle,Gold
1896,Athens,Aquatics,Swimming,AUT,Men,100M Freestyle,Silver
1896,Athens,Aquatics,Swimming,GRE,Men,100M Freestyle For Sailors,Bronze
1896,Athens,Aquatics,Swimming,GRE,Men,100M Freestyle For Sailors,Gold
1896,Athens,Aquatics,Swimming,GRE,Men,100M Freestyle For Sailors,Silver
1896,Athens,Aquatics,Swimming,GRE,Men,1200M Freestyle,Bronze
1896,Athens,Aquatics,Swimming,HUN,Men,1200M Freestyle,Gold
1896,Athens,Aquatics,Swimming,GRE,Men,1200M Freestyle,Silver
1896,Athens,Aquatics,Swimming,GRE,Men,400M Freestyle,Bronze
1896,Athens,Aquatics,Swimming,AUT,Men,400M Freestyle,Gold
1896,Athens,Aquatics,Swimming,GRE,Men,400M Freestyle,Silver
1896,Athens,Athletics,Athletics,USA,Men,100M,Bronze
1896,Athens,Athletics,Athletics,HUN,Men,100M,Bronze
1896,Athens,Athletics,Athletics,USA,Men,100M,Gold
1896,Athens,Athletics,Athletics,GER,Men,100M,Silver
1896,Athens,Athletics,Athletics,USA,Men,110M Hurdles,Gold
1896,Athens,Athletics,Athletics,GBR,Men,110M Hurdles,Silver
1896,Athens,Athletics,Athletics,FRA,Men,1500M,Bronze
1896,Athens,Athletics,Athletics,AUS,Men,1500M,Gold
1896,Athens,Athletics,Athletics,USA,Men,1500M,Silver
1896,Athens,Athletics,Athletics,GBR,Men,400M,Bronze
1896,Athens,Athletics,Athletics,USA,Men,400M,Gold
1896,Athens,Athletics,Athletics,USA,Men,400M,Silver
1896,Athens,Athletics,Athletics,GRE,Men,800M,Bronze
1896,Athens,Athletics,Athletics,AUS,Men,800M,Gold
1896,Athens,Athletics,Athletics,HUN,Men,800M,Silver
1896,Athens,Athletics,Athletics,GRE,Men,Discus Throw,Bronze
1896,Athens,Athletics,Athletics,USA,Men,Discus Throw,Gold
1896,Athens,Athletics,Athletics,GRE,Men,Discus Throw,Silver
1896,Athens,Athletics,Athletics,USA,Men,High Jump,Gold
1896,Athens,Athletics,Athletics,USA,Men,High Jump,Silver
1896,Athens,Athletics,Athletics,USA,Men,Long Jump,Bronze
1896,Athens,Athletics,Athletics,USA,Men,Long Jump,Gold
1896,Athens,Athletics,Athletics,USA,Men,Long Jump,Silver
1896,Athens,Athletics,Athletics,HUN,Men,Marathon,Bronze
1896,Athens,Athletics,Athletics,GRE,Men,Marathon,Gold
1896,Athens,Athletics,Athletics,GRE,Men,Marathon,Silver
1896,Athens,Athletics,Athletics,GRE,Men,Pole Vault,Bronze
1896,Athens,Athletics,Athletics,USA,Men,Pole Vault,Gold
1896,Athens,Athletics,Athletics,USA,Men,Pole Vault,Silver
1896,Athens,Athletics,Athletics,GRE,Men,Shot Put,Bronze
1896,Athens,Athletics,Athletics,USA,Men,Shot Put,Gold
1896,Athens,Athletics,Athletics,GRE,Men,Shot Put,Silver
1896,Athens,Athletics,Athletics,GRE,Men,Triple Jump,Bronze
1896,Athens,Athletics,Athletics,USA,Men,Triple Jump,Gold
1896,Athens,Athletics,Athletics,FRA,Men,Triple Jump,Silver
1896,Athens,Cycling,Cycling Road,GBR,Men,Individual Road Race,Bronze
1896,Athens,Cycling,Cycling Road,GRE,Men,Individual Road Race,Gold
1896,Athens,Cycling,Cycling Road,GER,Men,Individual Road Race,Silver
1896,Athens,Cycling,Cycling Track,FRA,Men,100KM,Gold
1896,Athens,Cycling,Cycling Track,GRE,Men,100KM,Silver
1896,Athens,Cycling,Cycling Track,AUT,Men,10KM,Bronze
1896,Athens,Cycling,Cycling Track,FRA,Men,10KM,Gold
1896,Athens,Cycling,Cycling Track,FRA,Men,10KM,Silver
1896,Athens,Cycling,Cycling Track,AUT,Men,12-Hour Race,Gold
1896,Athens,Cycling,Cycling Track,GBR,Men,12-Hour Race,Silver
1896,Athens,Cycling,Cycling Track,AUT,Men,1KM Time Trial,Bronze
1896,Athens,Cycling,Cycling Track,FRA,Men,1KM Time Trial,Gold
1896,Athens,Cycling,Cycling Track,GRE,Men,1KM Time Trial,Silver
1896,Athens,Cycling,Cycling Track,FRA,Men,Sprint Indivual,Bronze
1896,Athens,Cycling,Cycling Track,FRA,Men,Sprint Indivual,Gold
1896,Athens,Cycling,Cycling Track,GRE,Men,Sprint Indivual,Silver
1896,Athens,Fencing,Fencing,GRE,Men,Foil Individual,Bronze
1896,Athens,Fencing,Fencing,FRA,Men,Foil Individual,Gold
1896,Athens,Fencing,Fencing,FRA,Men,Foil Individual,Silver
1896,Athens,Fencing,Fencing,GRE,Men,"Foil, Masters",Gold
1896,Athens,Fencing,Fencing,FRA,Men,"Foil, Masters",Silver
1896,Athens,Fencing,Fencing,DEN,Men,Sabre Individual,Bronze
1896,Athens,Fencing,Fencing,GRE,Men,Sabre Individual,Gold
1896,Athens,Fencing,Fencing,GRE,Men,Sabre Individual,Silver
1896,Athens,Gymnastics,Artistic G.,GER,Men,Horizontal Bar,Gold
1896,Athens,Gymnastics,Artistic G.,GER,Men,Horizontal Bar,Silver
1896,Athens,Gymnastics,Artistic G.,GER,Men,Parallel Bars,Gold
1896,Athens,Gymnastics,Artistic G.,SUI,Men,Parallel Bars,Silver
1896,Athens,Gymnastics,Artistic G.,SUI,Men,Pommel Horse,Gold
1896,Athens,Gymnastics,Artistic G.,GER,Men,Pommel Horse,Silver
1896,Athens,Gymnastics,Artistic G.,GRE,Men,Rings,Bronze
1896,Athens,Gymnastics,Artistic G.,GRE,Men,Rings,Gold
1896,Athens,Gymnastics,Artistic G.,GER,Men,Rings,Silver
1896,Athens,Gymnastics,Artistic G.,GER,Men,Rope Climbing,Bronze
1896,Athens,Gymnastics,Artistic G.,GRE,Men,Rope Climbing,Gold
1896,Athens,Gymnastics,Artistic G.,GRE,Men,Rope Climbing,Silver
1896,Athens,Gymnastics,Artistic G.,GER,Men,"Team, Horizontal Bar",Gold
1896,Athens,Gymnastics,Artistic G.,GRE,Men,"Team, Parallel Bars",Bronze
1896,Athens,Gymnastics,Artistic G.,GER,Men,"Team, Parallel Bars",Gold
1896,Athens,Gymnastics,Artistic G.,GRE,Men,"Team, Parallel Bars",Silver
1896,Athens,Gymnastics,Artistic G.,GER,Men,Vault,Bronze
1896,Athens,Gymnastics,Artistic G.,GER,Men,Vault,Gold
1896,Athens,Gymnastics,Artistic G.,SUI,Men,Vault,Silver
1896,Athens,Shooting,Shooting,GRE,Men,25M Army Pistol,Bronze
1896,Athens,Shooting,Shooting,USA,Men,25M Army Pistol,Gold
1896,Athens,Shooting,Shooting,USA,Men,25M Army Pistol,Silver
1896,Athens,Shooting,Shooting,DEN,Men,25M Rapid Fire Pistol (60 Shots),Bronze
1896,Athens,Shooting,Shooting,GRE,Men,25M Rapid Fire Pistol (60 Shots),Gold
1896,Athens,Shooting,Shooting,GRE,Men,25M Rapid Fire Pistol (60 Shots),Silver
1896,Athens,Shooting,Shooting,GRE,Men,50M Pistol (60 Shots),Bronze
1896,Athens,Shooting,Shooting,USA,Men,50M Pistol (60 Shots),Gold
1896,Athens,Shooting,Shooting,DEN,Men,50M Pistol (60 Shots),Silver
1896,Athens,Shooting,Shooting,GRE,Men,"Army Rifle, 200M",Bronze
1896,Athens,Shooting,Shooting,GRE,Men,"Army Rifle, 200M",Gold
1896,Athens,Shooting,Shooting,GRE,Men,"Army Rifle, 200M",Silver
1896,Athens,Shooting,Shooting,DEN,Men,"Army Rifle, 300M",Bronze
1896,Athens,Shooting,Shooting,GRE,Men,"Army Rifle, 300M",Gold
1896,Athens,Shooting,Shooting,GRE,Men,"Army Rifle, 300M",Silver
1896,Athens,Tennis,Tennis,ZZX,Men,Doubles,Bronze
1896,Athens,Tennis,Tennis,ZZX,Men,Doubles,Gold
1896,Athens,Tennis,Tennis,ZZX,Men,Doubles,Silver
1896,Athens,Tennis,Tennis,GRE,Men,Singles,Bronze
1896,Athens,Tennis,Tennis,HUN,Men,Singles,Bronze
1896,Athens,Tennis,Tennis,GBR,Men,Singles,Gold
1896,Athens,Tennis,Tennis,GRE,Men,Singles,Silver
1896,Athens,Weightlifting,Weightlifting,GRE,Men,Heavyweight - One Hand Lift,Bronze
1896,Athens,Weightlifting,Weightlifting,GBR,Men,Heavyweight - One Hand Lift,Gold
1896,Athens,Weightlifting,Weightlifting,DEN,Men,Heavyweight - One Hand Lift,Silver
1896,Athens,Weightlifting,Weightlifting,GRE,Men,Heavyweight - Two Hand Lift,Bronze
1896,Athens,Weightlifting,Weightlifting,DEN,Men,Heavyweight - Two Hand Lift,Gold
1896,Athens,Weightlifting,Weightlifting,GBR,Men,Heavyweight - Two Hand Lift,Silver
1896,Athens,Wrestling,Wrestling Gre-R,GRE,Men,Open Event,Bronze
1896,Athens,Wrestling,Wrestling Gre-R,GER,Men,Open Event,Gold
1896,Athens,Wrestling,Wrestling Gre-R,GRE,Men,Open Event,Silver
1900,Paris,Aquatics,Swimming,HUN,Men,1500M Freestyle,Bronze
1900,Paris,Aquatics,Swimming,GBR,Men,1500M Freestyle,Gold
1900,Paris,Aquatics,Swimming,AUT,Men,1500M Freestyle,Silver
1900,Paris,Aquatics,Swimming,NED,Men,200M Backstroke,Bronze
1900,Paris,Aquatics,Swimming,GER,Men,200M Backstroke,Gold
1900,Paris,Aquatics,Swimming,AUT,Men,200M Backstroke,Silver
1900,Paris,Aquatics,Swimming,AUT,Men,200M Freestyle,Bronze
1900,Paris,Aquatics,Swimming,AUS,Men,200M Freestyle,Gold
1900,Paris,Aquatics,Swimming,HUN,Men,200M Freestyle,Silver
1900,Paris,Aquatics,Swimming,GBR,Men,200M Obstacle Event,Bronze
1900,Paris,Aquatics,Swimming,AUS,Men,200M Obstacle Event,Gold
1900,Paris,Aquatics,Swimming,AUT,Men,200M Obstacle Event,Silver
1900,Paris,Aquatics,Swimming,FRA,Men,200M Team Swimming,Bronze
1900,Paris,Aquatics,Swimming,GER,Men,200M Team Swimming,Gold
1900,Paris,Aquatics,Swimming,FRA,Men,200M Team Swimming,Silver
1900,Paris,Aquatics,Swimming,FRA,Men,4000M Freestyle,Bronze
1900,Paris,Aquatics,Swimming,GBR,Men,4000M Freestyle,Gold
1900,Paris,Aquatics,Swimming,HUN,Men,4000M Freestyle,Silver
1900,Paris,Aquatics,Swimming,DEN,Men,Underwater Swimming,Bronze
1900,Paris,Aquatics,Swimming,FRA,Men,Underwater Swimming,Gold
1900,Paris,Aquatics,Swimming,FRA,Men,Underwater Swimming,Silver
1900,Paris,Aquatics,Water polo,FRA,Men,Water Polo,Bronze
1900,Paris,Aquatics,Water polo,GBR,Men,Water Polo,Gold
1900,Paris,Aquatics,Water polo,BEL,Men,Water Polo,Silver
1900,Paris,Archery,Archery,FRA,Men,"Au Chapelet, 33M",Bronze
1900,Paris,Archery,Archery,BEL,Men,"Au Chapelet, 33M",Gold
1900,Paris,Archery,Archery,FRA,Men,"Au Chapelet, 33M",Silver
1900,Paris,Archery,Archery,FRA,Men,"Au Chapelet, 50M",Bronze
1900,Paris,Archery,Archery,FRA,Men,"Au Chapelet, 50M",Gold
1900,Paris,Archery,Archery,FRA,Men,"Au Chapelet, 50M",Silver
1900,Paris,Archery,Archery,FRA,Men,"Au Cordon Doré, 33M",Bronze
1900,Paris,Archery,Archery,BEL,Men,"Au Cordon Doré, 33M",Gold
1900,Paris,Archery,Archery,FRA,Men,"Au Cordon Doré, 33M",Silver
1900,Paris,Archery,Archery,FRA,Men,"Au Cordon Doré, 50M",Bronze
1900,Paris,Archery,Archery,FRA,Men,"Au Cordon Doré, 50M",Gold
1900,Paris,Archery,Archery,BEL,Men,"Au Cordon Doré, 50M",Silver
1900,Paris,Archery,Archery,BEL,Men,Sur La Perche À La Herse,Gold
1900,Paris,Archery,Archery,BEL,Men,Sur La Perche À La Herse,Silver
1900,Paris,Archery,Archery,FRA,Men,Sur La Perche À La Herse,Silver
1900,Paris,Archery,Archery,BEL,Men,Sur La Perche À La Pyramide,Bronze
1900,Paris,Archery,Archery,FRA,Men,Sur La Perche À La Pyramide,Gold
1900,Paris,Archery,Archery,FRA,Men,Sur La Perche À La Pyramide,Silver
1900,Paris,Athletics,Athletics,AUS,Men,100M,Bronze
1900,Paris,Athletics,Athletics,USA,Men,100M,Gold
1900,Paris,Athletics,Athletics,USA,Men,100M,Silver
1900,Paris,Athletics,Athletics,USA,Men,110M Hurdles,Bronze
1900,Paris,Athletics,Athletics,USA,Men,110M Hurdles,Gold
1900,Paris,Athletics,Athletics,USA,Men,110M Hurdles,Silver
1900,Paris,Athletics,Athletics,USA,Men,1500M,Bronze
1900,Paris,Athletics,Athletics,GBR,Men,1500M,Gold
1900,Paris,Athletics,Athletics,FRA,Men,1500M,Silver
1900,Paris,Athletics,Athletics,AUS,Men,200M,Bronze
1900,Paris,Athletics,Athletics,USA,Men,200M,Gold
1900,Paris,Athletics,Athletics,IND,Men,200M,Silver
1900,Paris,Athletics,Athletics,USA,Men,200M Hurdles,Bronze
1900,Paris,Athletics,Athletics,USA,Men,200M Hurdles,Gold
1900,Paris,Athletics,Athletics,IND,Men,200M Hurdles,Silver
1900,Paris,Athletics,Athletics,FRA,Men,3000M Steeplechase,Bronze
1900,Paris,Athletics,Athletics,CAN,Men,3000M Steeplechase,Gold
1900,Paris,Athletics,Athletics,GBR,Men,3000M Steeplechase,Silver
1900,Paris,Athletics,Athletics,GBR,Men,4000M Steeplechase,Bronze
1900,Paris,Athletics,Athletics,GBR,Men,4000M Steeplechase,Gold
1900,Paris,Athletics,Athletics,GBR,Men,4000M Steeplechase,Silver
1900,Paris,Athletics,Athletics,DEN,Men,400M,Bronze
1900,Paris,Athletics,Athletics,USA,Men,400M,Gold
1900,Paris,Athletics,Athletics,USA,Men,400M,Silver
1900,Paris,Athletics,Athletics,CAN,Men,400M Hurdles,Bronze
1900,Paris,Athletics,Athletics,USA,Men,400M Hurdles,Gold
1900,Paris,Athletics,Athletics,FRA,Men,400M Hurdles,Silver
1900,Paris,Athletics,Athletics,ZZX,Men,5000M Team,Gold
